name,sub_category_id,
野球/サッカーゲーム,79,
スポーツ,79,
三輪車/乗り物,79,
ヨーヨー,79,
模型製作用品,79,
鉄道,79,
航空機,79,
アマチュア無線,79,
パチンコ/パチスロ,79,
その他,79,
ファンデーション,80,
化粧下地,80,
コントロールカラー,80,
BBクリーム,80,
CCクリーム,80,
コンシーラー,80,
フェイスパウダー,80,
トライアルセット/サンプル,80,
その他,80,
アイシャドウ,81,
口紅,81,
リップグロス,81,
リップライナー,81,
チーク,81,
フェイスカラー,81,
マスカラ,81,
アイライナー,81,
つけまつげ,81,
アイブロウペンシル,81,
パウダーアイブロウ,81,
眉マスカラ,81,
トライアルセット/サンプル,81,
メイク道具/化粧小物,81,
美顔用品/美顔ローラー,81,
その他,81,
ネイルカラー,82,
カラージェル,82,
ネイルベースコート/トップコート,82,
ネイルアート用品,82,
ネイルパーツ,82,
ネイルチップ/付け爪,82,
手入れ用具,82,
除光液,82,
その他,82,
香水(女性用),83,
香水(男性用),83,
ユニセックス,83,
ボディミスト,83,
その他,83,
化粧水/ローション,84,
乳液/ミルク,84,
美容液,84,
フェイスクリーム,84,
洗顔料,84,
クレンジング/メイク落とし,84,
パック/フェイスマスク,84,
ジェル/ゲル,84,
ブースター/導入液,84,
アイケア,84,
リップケア,84,
トライアルセット/サンプル,84,
洗顔グッズ,84,
その他,84,
シャンプー,85,
トリートメント,85,
コンディショナー,85,
リンス,85,
スタイリング剤,85,
カラーリング剤,85,
ブラシ,85,
その他,85,
オイル/クリーム,86,
ハンドクリーム,86,
ローション,86,
日焼け止め/サンオイル,86,
ボディソープ,86,
入浴剤,86,
制汗/デオドラント,86,
フットケア,86,
その他,86,
口臭防止/エチケット用品,87,
歯ブラシ,87,
その他,87,
エッセンシャルオイル,88,
芳香器,88,
お香/香炉,88,
キャンドル,88,
リラクゼーショングッズ,88,
その他,88,
ダイエット食品,89,
エクササイズ用品,89,
体重計,89,
体脂肪計,89,
その他,89,
健康用品,90,
看護/介護用品,90,
救急/衛生用品,90,
その他,90,
スマートフォン本体,91,
バッテリー/充電器,91,
携帯電話本体,91,
PHS本体,91,
その他,91,
Android用ケース,92,
